title,id,vote,genre,,release_date
100 % COCO,ef74f5af97c7acf349fb0064183d0811304f673b,6.6,['Drame'],nl,2017-07-06
JE VAIS MIEUX,a5bfb1bd703447d88c63908b22ff1d71051396d9,5.5,[‘Comedie’],,
LE BRIO,8c554d32bea23f75dcf39a88fd74d8cd9c9dcaaa,7.3,"[""Comedie""]",fr,2017-11-22
LA MONNAIE DE LEUR PIECE,be0ff453d106e0bae3ca0f9286f1378914e35432,4.3,[‘Comedie’],,
LE GRAND SAUT,0b0f445a3fb0a93c16b3bf5cd8d38e03f897bc0d,0,[],,
A 2H DE PARIS,216981d53c62623dfb194b2e0d422a7dfadc3cbc,0,[],,
AURORE TABORT,dffc231fd15f4c0386feb7be01030e965e63b9da,0,[],,
LOLA PATER,d4ee40c754e9b026185c9b3c5f542602aaf93d20,6,"[""Comedie""]",fr,2017-08-09
MARIE FRANCINE,758dd01153dcaf5addab87d6dd93884232910842,5.6,"[""Comedie""]",fr,2017-05-31
CHERCHEZ LA FEMME,9e1edbcd4495cd2659188e1f7b7240641a8e5132,6.2,"[""Comedie""]",fr,2017-06-28
PLONGER,48c8138a938d02a17cbd81ff35843e5b90be6132,6,['Drame'],fr,2017-11-29
FLEUVE NOIR,7277a42271f9ea2eb913e4e8ede454ef18d764d0,0,[],,
FLORA63,b53860fe385da003cb3f8f87e6b2cde38fa27cca,0,[],,
RAID DINGUE,77c679bc17cae8c3526651ae979da6f538bff74b,5.8,"[""Action"", ""Comedie""]",fr,2017-02-01
ROCK ON 2,66a71dc6fee2a2cf19647f3d99def6e39dac8819,3.4,['Drame'],hi,2016-11-11
ALIBI.COM,418d14013bb11cf6cc95f58215a3366dd075614b,6.8,"[""Comedie""]",fr,2017-02-15
VIVE LA CRISE,eefc4450d6f8ba67f34a3023ac747d8aab3c5097,5.3,"[""Comedie""]",fr,2017-05-10
DANIEL,89c098d4721d0e9649d54a009a8a929711c3b673,7.7,['Drame'],en,2016-10-21
RODIN,64903a59e290a1f0a7adfd98ea729ac079b4f64f,4.6,[],fr,2017-08-31
LUMIERE AMOUREUSE,508a4612560dc480b32f5dcc433f0059be7539d7,0,[],,
UNE VIE VIOLENTE,ced6e23fc00ed7578daa692cd2146c39ebf89fed,7.8,[],fr,2017-08-09
EYE ON JULIET,c88703e744772725cb1d2773c4b797326d4a0b9b,6,[],en,2017-08-30
FREED,b5dc2c8f9a20de67209dd8d2abf2f923ef8bc05a,7.6,"[""Comedie""]",en,2016-07-01
LES TETES DE L'EMPLOI,f59b377efc29dd17b42358ee2306f9bb53808afa,4.3,"[""Comedie""]",fr,2016-11-16
BLOCKBUSTER,9cbde2464b252a1ab121e9f6af1d273cf6c4d2c1,4.3,[],fr,2018-01-24
QUE LE DIABLE NOUS EMPORTE,a5008170d92572d3f78c761558661a23596a6148,6.0,"[‘Comedie' , 'Drame’]",,
OTEZ MOI D'UN DOUTE,9a3f412c3ad9395330530b4f28a8129e8001c8a0,6.7,"['Drame', ""Comedie""]",fr,2017-09-06
SOUS LE MEME TOIT,48f4656f0e773653dc7da9fb879a04933fb74432,5.4,"[""Comedie""]",fr,2017-04-19
KNOCK,0ecd5dc4daaafacf472039b39fcb75821ef1548f,6.3,"[""Comedie""]",fr,2017-10-18
HARWOOD,d2233f93edb36270ef34c083b12ee8ecab397416,0,[],,
MES TRESORS,f518ca8b41c2b972a86da4d30b22fc967345ff6d,5.9,"[""Comedie""]",fr,2017-01-04
UN CONTE INDIEN,f83a3d5cfc767d92c1909bb26132aaa5ccdeda7b,0,[],,
ESPECES MENACEES,8978ada96f31ba69851c8121005df931b4e58d78,8,['Drame'],fr,2017-09-27
SEULS,8e911072e9906d3dddfb1556b723cee3baf19921,5.6,[],fr,2017-02-08
L'AMOUR QU'IL NOUS FAUT,99926bf019d20f0d011d525d73e27c7d3d8289d5,0,[],,
TUDO BOM TUDO BEM,93487b1ee752d46c101092c0ccda7c5499ace8c5,0,[],,
JUSQU'A LA GARDE,a2b42f62317ec9b65fa72c42f90ce5298f7b3dce,7.5,[‘Drame’],,
ELI LI TRA NIJI,de7422cd301731870b61b5231a3e0372c27ec724,0,[],,
BIENVENUE AU GONDWANA,bc327489fe8038549fa42583b76105826e94c269,4.3,"[""Comedie""]",fr,2017-04-12
BRAS OUVERTS,481a2a105cb0336ab767689beb9a1810f82cc3a3,5.1,"[""Comedie""]",fr,2017-04-05
BARBARA,59661644714355c39ea40a9210044ec8742da331,6.7,[],fr,2017-09-06
GAUGUIN,1df3b6ac948ca0140f736cc0b9dde6fd0b1d693e,6.2,[],fr,2017-09-20
ESPADRILLES,83f47e0753aba64b563c816b1490fd17d2d0d523,0,[],,
PAULA,872fa3b2fa9e28fc29d873d3e2bf7d758ec98543,6.9,['Drame'],de,2016-12-15
SPARRING,1585dffb1ccea568dac0c2f94d3ad5f811df0540,6.3,[‘Drame’],,
